"Class","Accuracy","Precision","Recall"
"Tomato___Target_Spot","0.0","0.0","0.0"
"Tomato___Leaf_Mold","0.0","0.0","0.0"
"Strawberry___Leaf_scorch","0.0","0.0","0.0"
"Apple___Black_rot","0.0","0.0","0.0"
"Strawberry___healthy","0.0","0.0","0.0"
"Corn_(maize)___Common_rust_","0.0","0.0","0.0"
"Potato___Early_blight","0.0","0.0","0.0"
"Apple___healthy","0.0","0.0","0.0"
"Potato___healthy","0.0","0.0","0.0"
"Tomato___Early_blight","0.0","0.0","0.0"
"Blueberry___healthy","0.0","0.0","0.0"
"Pepper,_bell___Bacterial_spot","0.0","0.0","0.0"
"Grape___Esca_(Black_Measles)","0.0","0.0","0.0"
"Peach___healthy","0.0","0.0","0.0"
"Cherry_(including_sour)___Powdery_mildew","1.0","0.01","1.0"
"Grape___Black_rot","0.0","0.0","0.0"
"Tomato___Bacterial_spot","0.0","0.0","0.0"
"Grape___Leaf_blight_(Isariopsis_Leaf_Spot)","0.0","0.0","0.0"
"Potato___Late_blight","0.0","0.0","0.0"
"Peach___Bacterial_spot","0.0","0.0","0.0"
"Orange___Haunglongbing_(Citrus_greening)","0.54362416","0.69827586","0.54362416"
"Tomato___Tomato_mosaic_virus","0.0","0.0","0.0"
"Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot","0.35114503","0.38655463","0.35114503"
"Tomato___Tomato_Yellow_Leaf_Curl_Virus","0.0","0.0","0.0"
"Grape___healthy","0.0","0.0","0.0"
"Corn_(maize)___healthy","0.0","0.0","0.0"
"Apple___Cedar_apple_rust","0.0","0.0","0.0"
"Soybean___healthy","0.0","0.0","0.0"
"Tomato___Late_blight","0.0","0.0","0.0"
"Tomato___healthy","0.055555556","0.017857144","0.055555556"
"Cherry_(including_sour)___healthy","0.0","0.0","0.0"
"Apple___Apple_scab","0.1722973","0.2771739","0.1722973"
"Tomato___Spider_mites Two-spotted_spider_mite","0.125","0.010471204","0.125"
"Raspberry___healthy","0.0","0.0","0.0"
"Pepper,_bell___healthy","0.0","0.0","0.0"
"Squash___Powdery_mildew","0.20529197","0.88408643","0.20529197"
"Corn_(maize)___Northern_Leaf_Blight","0.16746126","0.5242537","0.16746126"
"Tomato___Septoria_leaf_spot","0.3483023","0.57713246","0.3483023"